iter	Passed	Remaining
0	174	34731
1	195	19346
2	219	14424
3	237	11648
4	256	10008
5	274	8871
6	292	8054
7	310	7446
8	327	6954
9	344	6553
10	362	6222
11	379	5939
12	396	5697
13	415	5516
14	432	5339
15	450	5179
16	467	5036
17	485	4906
18	501	4778
19	518	4664
20	534	4555
21	553	4475
22	571	4398
23	589	4323
24	606	4246
25	624	4176
26	639	4100
27	655	4026
28	672	3968
29	689	3908
30	708	3859
31	725	3806
32	741	3752
33	759	3706
34	776	3662
35	792	3612
36	809	3566
37	827	3527
38	845	3491
39	863	3453
40	881	3416
41	898	3378
42	913	3335
43	929	3294
44	948	3266
45	964	3229
46	980	3192
47	998	3161
48	1014	3126
49	1031	3093
50	1047	3060
51	1064	3028
52	1080	2996
53	1097	2968
54	1115	2940
55	1133	2915
56	1150	2887
57	1168	2860
58	1186	2836
59	1206	2814
60	1224	2791
61	1242	2765
62	1260	2742
63	1278	2716
64	1295	2691
65	1316	2673
66	1337	2654
67	1354	2630
68	1374	2608
69	1391	2583
70	1410	2562
71	1434	2551
72	1461	2542
73	1479	2518
74	1498	2498
75	1524	2487
76	1543	2465
77	1561	2441
78	1579	2418
79	1596	2394
80	1612	2369
81	1631	2347
82	1649	2325
83	1667	2303
84	1684	2279
85	1703	2258
86	1721	2236
87	1737	2211
88	1755	2189
89	1774	2168
90	1792	2146
91	1809	2123
92	1827	2102
93	1844	2079
94	1862	2058
95	1880	2036
96	1897	2014
97	1914	1992
98	1932	1971
99	1949	1949
100	1967	1928
101	1985	1907
102	2003	1887
103	2020	1865
104	2037	1843
105	2055	1822
106	2071	1800
107	2086	1777
108	2104	1756
109	2120	1734
110	2138	1714
111	2154	1692
112	2171	1671
113	2189	1651
114	2208	1632
115	2223	1610
116	2240	1589
117	2258	1569
118	2275	1548
119	2292	1528
120	2311	1508
121	2327	1488
122	2347	1469
123	2363	1448
124	2382	1429
125	2402	1410
126	2418	1390
127	2435	1370
128	2455	1351
129	2473	1331
130	2492	1313
131	2510	1293
132	2527	1273
133	2545	1253
134	2563	1234
135	2579	1213
136	2597	1194
137	2612	1173
138	2628	1153
139	2648	1135
140	2666	1115
141	2685	1096
142	2704	1077
143	2720	1058
144	2736	1037
145	2752	1018
146	2766	997
147	2782	977
148	2800	958
149	2818	939
150	2836	920
151	2851	900
152	2868	881
153	2885	862
154	2903	843
155	2922	824
156	2946	807
157	2964	787
158	2980	768
159	2997	749
160	3017	730
161	3036	712
162	3054	693
163	3071	674
164	3089	655
165	3107	636
166	3125	617
167	3144	598
168	3163	580
169	3180	561
170	3198	542
171	3214	523
172	3230	504
173	3248	485
174	3266	466
175	3282	447
176	3298	428
177	3315	409
178	3333	391
179	3350	372
180	3369	353
181	3386	334
182	3401	315
183	3418	297
184	3437	278
185	3455	260
186	3473	241
187	3491	222
188	3507	204
189	3524	185
190	3541	166
191	3559	148
192	3577	129
193	3596	111
194	3614	92
195	3631	74
196	3648	55
197	3664	37
198	3679	18
199	3695	0
